year,analysis_role,bandwidth_km,slope_log_q_per_c,months
2004,held_out,251.599530062597,-0.015997745846851805,3
2004,held_out,503.199060125194,-0.0368671767408412,3
2004,held_out,1006.39812025039,-0.08604127715389044,3
2004,held_out,2012.79624050077,-0.11663787970231305,3
2005,held_out,125.799765031298,-0.043524416801194954,3
2005,held_out,251.599530062597,-0.05765415539119651,3
2005,held_out,503.199060125194,-0.07637670106629367,3
2005,held_out,1006.39812025039,-0.11496159753913719,3
2005,held_out,2012.79624050077,-0.14091991574099108,3
2006,held_out,125.799765031298,-0.018148088649381177,3
2006,held_out,251.599530062597,-0.02085785022704978,3
2006,held_out,503.199060125194,-0.0330568423544667,3
2006,held_out,1006.39812025039,-0.06631760782545218,3
2006,held_out,2012.79624050077,-0.0879183050495836,3
2007,held_out,125.799765031298,-0.024129732850948687,3
2007,held_out,251.599530062597,-0.024876743665722335,3
2007,held_out,503.199060125194,-0.0335598954915008,3
2007,held_out,1006.39812025039,-0.07915823562974757,3
2007,held_out,2012.79624050077,-0.1100124198636852,3
2008,held_out,125.799765031298,-0.037635678607652656,3
2008,held_out,251.599530062597,-0.05157993199432095,3
2008,held_out,503.199060125194,-0.0795830656916154,3
2008,held_out,1006.39812025039,-0.12143537111262799,3
2008,held_out,2012.79624050077,-0.14319175407354243,3
2009,held_out,125.799765031298,-0.012248410412679192,3
2009,held_out,251.599530062597,-0.01855195052122161,3
2009,held_out,503.199060125194,-0.01906067444324935,3
2009,held_out,1006.39812025039,-0.034531519332822884,3
2009,held_out,2012.79624050077,-0.051525696629851826,3
2010,held_out,125.799765031298,0.00150284782052332,3
2010,held_out,251.599530062597,-0.0015333754589100912,3
2010,held_out,503.199060125194,-0.016637758094877098,3
2010,held_out,1006.39812025039,-0.05483485267912022,3
2010,held_out,2012.79624050077,-0.0787368884894006,3
2011,held_out,125.799765031298,-0.036194812573109685,3
2011,held_out,251.599530062597,-0.040180324908082245,3
2011,held_out,503.199060125194,-0.0373269859188894,3
2011,held_out,1006.39812025039,-0.060809180739128145,3
2011,held_out,2012.79624050077,-0.08271030804777467,3
2012,held_out,125.799765031298,-0.06434332334680834,3
2012,held_out,251.599530062597,-0.07868891262438306,3
2012,held_out,503.199060125194,-0.10047891829345112,3
2012,held_out,1006.39812025039,-0.1362797025777013,3
2012,held_out,2012.79624050077,-0.16019195502843256,3
2013,held_out,125.799765031298,-0.009425376488545531,3
2013,held_out,251.599530062597,-0.026512305599027407,3
2013,held_out,503.199060125194,-0.0685209650431352,3
2013,held_out,1006.39812025039,-0.1272311399528083,3
2013,held_out,2012.79624050077,-0.15864609368285773,3
2014,held_out,125.799765031298,-0.04877480656438927,3
2014,held_out,251.599530062597,-0.06986766642396199,3
2014,held_out,503.199060125194,-0.09533587214093735,3
2014,held_out,1006.39812025039,-0.1246431365983001,3
2014,held_out,2012.79624050077,-0.14115159423692594,3
2015,discovery,125.799765031298,-0.02343545599449882,3
2015,discovery,251.599530062597,-0.03501436422804794,3
2015,discovery,503.199060125194,-0.03731540619321653,3
2015,discovery,1006.39812025039,-0.04755214894197429,3
2015,discovery,2012.79624050077,-0.061032315176693774,3
2016,held_out,125.799765031298,0.012203832844219829,3
2016,held_out,251.599530062597,0.01141294961604338,3
2016,held_out,503.199060125194,0.008039654140900791,3
2016,held_out,1006.39812025039,-0.024702412267314264,3
2016,held_out,2012.79624050077,-0.05007548191294766,3
2017,held_out,125.799765031298,-0.06156517262427167,3
2017,held_out,251.599530062597,-0.07464799771210921,3
2017,held_out,503.199060125194,-0.09600454787027168,3
2017,held_out,1006.39812025039,-0.1403915043341414,3
2017,held_out,2012.79624050077,-0.16771354076344816,3
2018,held_out,125.799765031298,-0.03284216188642559,3
2018,held_out,251.599530062597,-0.05350589629100705,3
2018,held_out,503.199060125194,-0.09555185118206418,3
2018,held_out,1006.39812025039,-0.16267872932239721,3
2018,held_out,2012.79624050077,-0.20342293903529993,3
2019,held_out,125.799765031298,-0.008024063828119753,3
2019,held_out,251.599530062597,-0.011686034931524203,3
2019,held_out,503.199060125194,-0.01719595594166035,3
2019,held_out,1006.39812025039,-0.03696814830353473,3
2019,held_out,2012.79624050077,-0.053808798052346375,3
2020,held_out,125.799765031298,-0.04820223755580305,3
2020,held_out,251.599530062597,-0.060152702583399414,3
2020,held_out,503.199060125194,-0.08032948200257486,3
2020,held_out,1006.39812025039,-0.11860123404748257,3
2020,held_out,2012.79624050077,-0.1427371684898626,3
2021,held_out,125.799765031298,-0.06940722151792399,3
2021,held_out,251.599530062597,-0.08647345472487646,3
2021,held_out,503.199060125194,-0.11913782382152237,3
2021,held_out,1006.39812025039,-0.168908509423867,3
2021,held_out,2012.79624050077,-0.19536958252575584,3
2022,discovery,125.799765031298,-0.016743354069215052,3
2022,discovery,251.599530062597,-0.046971041773051204,3
2022,discovery,503.199060125194,-0.0948700473841842,3
2022,discovery,1006.39812025039,-0.15204063744483462,3
2022,discovery,2012.79624050077,-0.18189556518177238,3
2023,held_out,125.799765031298,-0.07185786724855535,3
2023,held_out,251.599530062597,-0.09318314558084097,3
2023,held_out,503.199060125194,-0.11828497999068355,3
2023,held_out,1006.39812025039,-0.15035275578764618,3
2023,held_out,2012.79624050077,-0.17004622272296674,3
2024,held_out,125.799765031298,0.04411258912340663,3
2024,held_out,251.599530062597,0.04544060968547481,3
2024,held_out,503.199060125194,0.040393919030166946,3
2024,held_out,1006.39812025039,-0.0021072733239030686,3
2024,held_out,2012.79624050077,-0.0328245049547024,3
2025,held_out,125.799765031298,-0.1299731462101435,3
2025,held_out,251.599530062597,-0.1734527835341558,3
2025,held_out,503.199060125194,-0.24264708137840396,3
2025,held_out,1006.39812025039,-0.2910291636387153,3
2025,held_out,2012.79624050077,-0.3092625549460504,3
