basis,record_id,year,month,analysis_role,bandwidth_km,total_effect,structured_component,residual_component
latitude,200108,2001,8,held_out,125.799765,-0.16392685676041294,-0.04930862743439459,-0.1146182293260187
latitude,200206,2002,6,held_out,125.799765,0.014058693748048795,-0.003876175282476736,0.01793486903052567
latitude,200207,2002,7,held_out,125.799765,0.20269406816048147,0.013242936970057528,0.18945113119042278
latitude,200208,2002,8,held_out,125.799765,-0.14089307361015962,-0.04460158445973423,-0.09629148915042725
latitude,200306,2003,6,held_out,125.799765,-0.08881178499704992,-0.03929750515519787,-0.049514279841853
latitude,200307,2003,7,held_out,125.799765,0.02821191038118029,-0.02642588734346801,0.054637797724649176
latitude,200308,2003,8,held_out,125.799765,0.08939397813210481,-0.01886015608318804,0.10825413421529469
latitude,200406,2004,6,held_out,125.799765,0.056156429406920894,0.0046889689755072765,0.05146746043141282
latitude,200407,2004,7,held_out,125.799765,-0.031243811176637083,-0.0371345002324807,0.005890689055842929
latitude,200408,2004,8,held_out,125.799765,-0.025177080867715477,-0.057033169187798397,0.03185608832008463
latitude,200506,2005,6,held_out,125.799765,-0.09700719569607875,-0.031203417901149458,-0.06580377779492806
latitude,200507,2005,7,held_out,125.799765,-0.053736344324005675,-0.030465940979876815,-0.02327040334412917
latitude,200508,2005,8,held_out,125.799765,-0.0007227591074150805,-0.045994317614039125,0.04527155850662512
latitude,200606,2006,6,held_out,125.799765,-0.06148056614259318,-0.04350714099551179,-0.0179734251470811
latitude,200607,2006,7,held_out,125.799765,0.08118659297103166,0.009324298567242486,0.07186229440378873
latitude,200608,2006,8,held_out,125.799765,-0.13987016129788632,-0.027270307749907286,-0.11259985354797963
latitude,200706,2007,6,held_out,125.799765,0.14284801858310714,-0.03904984879755378,0.18189786738066116
latitude,200707,2007,7,held_out,125.799765,-0.0660815620500888,-0.02817589225342604,-0.03790566979666246
latitude,200708,2007,8,held_out,125.799765,0.0639183140276384,-0.038985744541073404,0.10290405856871226
latitude,200806,2008,6,held_out,125.799765,0.08512739277007096,-0.013560005912361194,0.09868739868243237
latitude,200807,2008,7,held_out,125.799765,0.021959669228587622,-0.005607170762013748,0.02756683999060124
latitude,200808,2008,8,held_out,125.799765,-0.010735100202822192,-0.036976465102135786,0.026241364899313602
latitude,200906,2009,6,held_out,125.799765,-0.07630578090220229,-0.009921672786146876,-0.06638410811605527
latitude,200907,2009,7,held_out,125.799765,-0.004331769371287046,-0.03299311982728401,0.02866135045599725
latitude,200908,2009,8,held_out,125.799765,-0.17178764279665223,-0.03138521778700956,-0.14040242500964253
latitude,201006,2010,6,held_out,125.799765,0.02805560246706406,-0.02498232050968337,0.05303792297674615
latitude,201007,2010,7,held_out,125.799765,-0.031146365367227456,-0.043345955700116366,0.012199590332889752
latitude,201008,2010,8,held_out,125.799765,-0.02219167836275497,-0.03680973578025268,0.014618057417498973
latitude,201106,2011,6,held_out,125.799765,-0.048286088305980156,-0.05843753586861059,0.010151447562631895
latitude,201107,2011,7,held_out,125.799765,-0.02134507313573216,-0.02955372597003461,0.008208652834300464
latitude,201108,2011,8,held_out,125.799765,0.022087515847145904,-0.02050117107616215,0.042588686923307494
latitude,201206,2012,6,held_out,125.799765,-0.17394907742765675,-0.06676195343533195,-0.10718712399232516
latitude,201207,2012,7,held_out,125.799765,-0.12434466495354897,-0.01830281292075073,-0.10604185203279584
latitude,201208,2012,8,held_out,125.799765,-0.17329858030308504,-0.03898597635645665,-0.134312603946629
latitude,201306,2013,6,held_out,125.799765,0.04108178919960866,-0.005598909542621808,0.04668069874223163
latitude,201307,2013,7,held_out,125.799765,-0.016082647456785303,-0.011024819640708389,-0.005057827816077148
latitude,201308,2013,8,held_out,125.799765,-0.00047088997857633146,-0.0368907472390757,0.03641985726050072
latitude,201406,2014,6,held_out,125.799765,-0.010398060383658802,0.002296062853039856,-0.012694123236698275
latitude,201407,2014,7,held_out,125.799765,-0.01049815636841284,-0.03451890163800392,0.024020745269590048
latitude,201408,2014,8,held_out,125.799765,0.00202663599264849,-0.011336790846109788,0.01336342683875753
latitude,201506,2015,6,development,125.799765,-0.10004535665398748,-0.06818954925101779,-0.03185580740297068
latitude,201507,2015,7,development,125.799765,-0.15841407745026298,-0.03668247607796806,-0.12173160137229576
latitude,201508,2015,8,development,125.799765,-0.11077884728819805,-0.024504644791095497,-0.08627420249710371
latitude,201606,2016,6,held_out,125.799765,0.0334933137167197,-0.021660513571136315,0.05515382728785669
latitude,201607,2016,7,held_out,125.799765,0.05624939016105429,-0.00662329676626611,0.0628726869273199
latitude,201608,2016,8,held_out,125.799765,0.14762803201611704,0.011057295797387215,0.13657073621872687
latitude,201706,2017,6,held_out,125.799765,-0.04569326361740815,-0.044273926492784,-0.001419337124623402
latitude,201707,2017,7,held_out,125.799765,-0.06954390075090619,-0.02300666315878508,-0.046537237592120036
latitude,201708,2017,8,held_out,125.799765,0.021557242592813913,-0.00872687030520096,0.030284112898015785
latitude,201806,2018,6,held_out,125.799765,-0.08190852714596661,-0.039665898932872916,-0.042242628213094005
latitude,201807,2018,7,held_out,125.799765,-0.09927404921906786,-0.031414633894804866,-0.06785941532426396
latitude,201808,2018,8,held_out,125.799765,-0.10030905766581331,-0.03749522417481134,-0.06281383349100199
latitude,201906,2019,6,held_out,125.799765,-0.07484721137517827,-0.026344450911011185,-0.04850276046416627
latitude,201907,2019,7,held_out,125.799765,-0.04406258109583929,-0.025148193612546783,-0.0189143874832918
latitude,201908,2019,8,held_out,125.799765,-0.0825359293724705,-0.03592433188523353,-0.04661159748723549
latitude,202006,2020,6,held_out,125.799765,-0.06879807552948076,-0.025989724521309123,-0.042808351008171666
latitude,202007,2020,7,held_out,125.799765,-0.0037032018731419725,-0.023353357017933923,0.019650155144791
latitude,202008,2020,8,held_out,125.799765,0.008704718079504648,0.004941658019356706,0.003763060060147932
latitude,202106,2021,6,held_out,125.799765,-0.16809079252732936,-0.05000048383458311,-0.11809030869274421
latitude,202107,2021,7,held_out,125.799765,-0.026184619124471974,-0.012487051341949305,-0.013697567782523297
latitude,202108,2021,8,held_out,125.799765,-0.01622562470684199,-0.01583071431897046,-0.00039491038787194756
latitude,202206,2022,6,development,125.799765,-0.012631709547713433,-0.0359215533068916,0.023289843759175796
latitude,202207,2022,7,development,125.799765,0.20548952111671998,-0.0001385063602357142,0.20562802747695574
latitude,202208,2022,8,development,125.799765,-0.09229524454685574,-0.05770608971457389,-0.03458915483228115
latitude,202306,2023,6,held_out,125.799765,-0.040498284842691,0.0004919082635779615,-0.040990193106268155
latitude,202307,2023,7,held_out,125.799765,-0.10306495300832565,-0.03049496313350915,-0.07256998987481915
latitude,202308,2023,8,held_out,125.799765,-0.26495650319848385,-0.054808906587292865,-0.21014759661118987
latitude,202406,2024,6,held_out,125.799765,-0.0699915826766969,-0.04853000995439879,-0.021461572722296762
latitude,202407,2024,7,held_out,125.799765,0.13498511887182787,-0.012930898226872349,0.14791601709869856
latitude,202408,2024,8,held_out,125.799765,0.055687231277360714,0.0007711610590663539,0.05491607021829255
latitude,202506,2025,6,held_out,125.799765,-0.09514119861612344,-0.07663730566516615,-0.01850389295095823
latitude,202507,2025,7,held_out,125.799765,-0.14155943019958783,-0.007238594114905797,-0.1343208360846812
latitude,202508,2025,8,held_out,125.799765,-0.12294776445510146,-0.019834213438470832,-0.10311355101663179
latitude_longitude,199106,1991,6,held_out,125.799765,0.08371187655285596,0.009302442081398127,0.07440943447145684
latitude_longitude,199107,1991,7,held_out,125.799765,0.0963914539930687,-0.054302729976871245,0.1506941839699408
latitude_longitude,199108,1991,8,held_out,125.799765,0.038327900457745985,0.0077202110366147445,0.030607689421133132
latitude_longitude,199206,1992,6,held_out,125.799765,0.029506156464861596,-0.012655294312433198,0.04216145077729353
latitude_longitude,199207,1992,7,held_out,125.799765,0.019222659607279088,-0.0198488031828721,0.03907146279015055
latitude_longitude,199208,1992,8,held_out,125.799765,0.09215781473356643,-0.03994756578162413,0.1321053805151905
latitude_longitude,199306,1993,6,held_out,125.799765,-0.0866718304789495,-0.041762276007204294,-0.0449095544717454
latitude_longitude,199307,1993,7,held_out,125.799765,0.07912739888034184,0.001737307766469007,0.07739009111387432
latitude_longitude,199308,1993,8,held_out,125.799765,-0.0430975471143597,-0.0467384404314424,0.0036408933170826207
latitude_longitude,199406,1994,6,held_out,125.799765,0.09275410553264471,0.039183739724414364,0.05357036580822986
latitude_longitude,199407,1994,7,held_out,125.799765,-0.03391208048639457,-0.0521517002310489,0.018239619744653907
latitude_longitude,199408,1994,8,held_out,125.799765,0.055975367616936667,-0.01091387164658933,0.06688923926352364
latitude_longitude,199506,1995,6,held_out,125.799765,0.09444151499206141,0.050492224416626076,0.043949290575435895
latitude_longitude,199507,1995,7,held_out,125.799765,0.019076192753893703,-0.04079813572759563,0.0598743284814908
latitude_longitude,199508,1995,8,held_out,125.799765,-0.09195303299457903,-0.03763912907761327,-0.05431390391696576
latitude_longitude,199606,1996,6,held_out,125.799765,-0.1298518964556923,-0.060017941868300305,-0.06983395458739067
latitude_longitude,199607,1996,7,held_out,125.799765,0.015719153438204448,-0.02691850065084689,0.04263765408905132
latitude_longitude,199608,1996,8,held_out,125.799765,-0.09358665720976193,-0.048181946025568315,-0.04540471118419486
latitude_longitude,199706,1997,6,held_out,125.799765,-0.17250021685005543,-0.06598108392943715,-0.10651913292061894
latitude_longitude,199707,1997,7,held_out,125.799765,0.06981012056596178,-0.005668101198257347,0.07547822176421987
latitude_longitude,199708,1997,8,held_out,125.799765,-0.12028757377972187,-0.03487581693418652,-0.08541175684553615
latitude_longitude,199806,1998,6,held_out,125.799765,-0.12989611040576526,-0.05262496859101861,-0.07727114181474674
latitude_longitude,199807,1998,7,held_out,125.799765,0.04426463796450573,0.003996124107271235,0.040268513857235615
latitude_longitude,199808,1998,8,held_out,125.799765,0.0821730838122658,0.014117138805084911,0.06805594500718219
latitude_longitude,199906,1999,6,held_out,125.799765,-0.1697585136389411,-0.08704265097264688,-0.08271586266629462
latitude_longitude,199907,1999,7,held_out,125.799765,-0.000349965308419993,-0.020287042850726193,0.019937077542308074
latitude_longitude,199908,1999,8,held_out,125.799765,-0.1514386842623608,-0.07859924750486623,-0.07283943675749573
latitude_longitude,200006,2000,6,held_out,125.799765,0.0028817902351598343,-0.0074528319448278245,0.010334622179987589
latitude_longitude,200007,2000,7,held_out,125.799765,-0.1535131147016426,-0.06035990173967409,-0.09315321296196849
latitude_longitude,200008,2000,8,held_out,125.799765,-0.18044906581750317,-0.04466927789389842,-0.13577978792360426
latitude_longitude,200106,2001,6,held_out,125.799765,-0.006244274209636319,-0.01925508354870303,0.013010809339066773
latitude_longitude,200107,2001,7,held_out,125.799765,-0.03313110604531836,-0.008959488956854054,-0.024171617088465183
latitude_longitude,200108,2001,8,held_out,125.799765,-0.16392685676041294,-0.06786212848983456,-0.09606472827057859
latitude_longitude,200206,2002,6,held_out,125.799765,0.014058693748048795,-0.0029188685319713544,0.016977562280019776
latitude_longitude,200207,2002,7,held_out,125.799765,0.20269406816048147,0.019788959107717396,0.18290510905276386
latitude_longitude,200208,2002,8,held_out,125.799765,-0.14089307361015962,-0.055171452708540486,-0.0857216209016202
latitude_longitude,200306,2003,6,held_out,125.799765,-0.08881178499704992,-0.043989902640343505,-0.044821882356707345
latitude_longitude,200307,2003,7,held_out,125.799765,0.02821191038118029,-0.010014630289583217,0.038226540670763656
latitude_longitude,200308,2003,8,held_out,125.799765,0.08939397813210481,-0.03223975954458438,0.12163373767669038
latitude_longitude,200406,2004,6,held_out,125.799765,0.056156429406920894,0.0022742870520214477,0.053882142354898195
latitude_longitude,200407,2004,7,held_out,125.799765,-0.031243811176637083,-0.03624660001899267,0.0050027888423531735
latitude_longitude,200408,2004,8,held_out,125.799765,-0.025177080867715477,-0.04800454695993662,0.022827466092222262
latitude_longitude,200506,2005,6,held_out,125.799765,-0.09700719569607875,-0.018213427526013348,-0.07879376817006527
latitude_longitude,200507,2005,7,held_out,125.799765,-0.053736344324005675,-0.03858249119363879,-0.015153853130367151
latitude_longitude,200508,2005,8,held_out,125.799765,-0.0007227591074150805,-0.038163152198254835,0.037440393090840754
latitude_longitude,200606,2006,6,held_out,125.799765,-0.06148056614259318,-0.0356369861871804,-0.025843579955413705
latitude_longitude,200607,2006,7,held_out,125.799765,0.08118659297103166,-0.01185253149874743,0.09303912446977743
latitude_longitude,200608,2006,8,held_out,125.799765,-0.13987016129788632,-0.04543538179924727,-0.09443477949863832
latitude_longitude,200706,2007,6,held_out,125.799765,0.14284801858310714,-0.013902450799568894,0.15675046938267534
latitude_longitude,200707,2007,7,held_out,125.799765,-0.0660815620500888,-0.022349381594371245,-0.043732180455717126
latitude_longitude,200708,2007,8,held_out,125.799765,0.0639183140276384,-0.035076061308335196,0.09899437533597343
latitude_longitude,200806,2008,6,held_out,125.799765,0.08512739277007096,0.005126746377028963,0.08000064639304395
latitude_longitude,200807,2008,7,held_out,125.799765,0.021959669228587622,-0.016066235129232845,0.03802590435782031
latitude_longitude,200808,2008,8,held_out,125.799765,-0.010735100202822192,-0.061026365812518336,0.05029126560969624
latitude_longitude,200906,2009,6,held_out,125.799765,-0.07630578090220229,-0.020489512478193344,-0.0558162684240094
latitude_longitude,200907,2009,7,held_out,125.799765,-0.004331769371287046,-0.041115102995764256,0.03678333362447717
latitude_longitude,200908,2009,8,held_out,125.799765,-0.17178764279665223,-0.03990434952309185,-0.13188329327356058
latitude_longitude,201006,2010,6,held_out,125.799765,0.02805560246706406,-0.01202662665668599,0.040082229123748654
latitude_longitude,201007,2010,7,held_out,125.799765,-0.031146365367227456,-0.05865988216743822,0.027513516800210767
latitude_longitude,201008,2010,8,held_out,125.799765,-0.02219167836275497,-0.05139817347505374,0.029206495112298957
latitude_longitude,201106,2011,6,held_out,125.799765,-0.048286088305980156,-0.052225807743403345,0.003939719437424337
latitude_longitude,201107,2011,7,held_out,125.799765,-0.02134507313573216,-0.035622117440459566,0.014277044304726616
latitude_longitude,201108,2011,8,held_out,125.799765,0.022087515847145904,-0.0319647712276847,0.0540522870748309
latitude_longitude,201206,2012,6,held_out,125.799765,-0.17394907742765675,-0.08713491386806134,-0.08681416355959638
latitude_longitude,201207,2012,7,held_out,125.799765,-0.12434466495354897,-0.03128026533095935,-0.09306439962258789
latitude_longitude,201208,2012,8,held_out,125.799765,-0.17329858030308504,-0.057072264113157155,-0.11622631618992753
latitude_longitude,201306,2013,6,held_out,125.799765,0.04108178919960866,0.0006796566199952361,0.04040213257961441
latitude_longitude,201307,2013,7,held_out,125.799765,-0.016082647456785303,-0.018161744790207893,0.002079097333422524
latitude_longitude,201308,2013,8,held_out,125.799765,-0.00047088997857633146,-0.03858904915839872,0.03811815917982369
latitude_longitude,201406,2014,6,held_out,125.799765,-0.010398060383658802,-0.012360910566880238,0.001962850183221571
latitude_longitude,201407,2014,7,held_out,125.799765,-0.01049815636841284,-0.02996190734925783,0.01946375098084444
latitude_longitude,201408,2014,8,held_out,125.799765,0.00202663599264849,-0.0283775218609926,0.030404157853640534
latitude_longitude,201506,2015,6,development,125.799765,-0.10004535665398748,-0.09952775662046036,-0.0005176000335272864
latitude_longitude,201507,2015,7,development,125.799765,-0.15841407745026298,-0.0393547449893298,-0.11905933246093346
latitude_longitude,201508,2015,8,development,125.799765,-0.11077884728819805,-0.04185698838407913,-0.06892185890411955
latitude_longitude,201606,2016,6,held_out,125.799765,0.0334933137167197,-0.006198689904938279,0.03969200362165937
latitude_longitude,201607,2016,7,held_out,125.799765,0.05624939016105429,-0.01047819183119968,0.06672758199225405
latitude_longitude,201608,2016,8,held_out,125.799765,0.14762803201611704,0.03218793299891678,0.1154400990171963
latitude_longitude,201706,2017,6,held_out,125.799765,-0.04569326361740815,-0.02660412752062403,-0.01908913609678344
latitude_longitude,201707,2017,7,held_out,125.799765,-0.06954390075090619,-0.04394566114363016,-0.025598239607276866
latitude_longitude,201708,2017,8,held_out,125.799765,0.021557242592813913,-0.00996700314031735,0.031524245733130285
latitude_longitude,201806,2018,6,held_out,125.799765,-0.08190852714596661,-0.04963605469105248,-0.032272472454913124
latitude_longitude,201807,2018,7,held_out,125.799765,-0.09927404921906786,-0.0442388123979726,-0.05503523682109736
latitude_longitude,201808,2018,8,held_out,125.799765,-0.10030905766581331,-0.027917411016276168,-0.07239164664953722
latitude_longitude,201906,2019,6,held_out,125.799765,-0.07484721137517827,-0.021705220496986335,-0.053141990878192186
latitude_longitude,201907,2019,7,held_out,125.799765,-0.04406258109583929,-0.036529800179731994,-0.007532780916106703
latitude_longitude,201908,2019,8,held_out,125.799765,-0.0825359293724705,-0.009524910540582467,-0.07301101883188753
latitude_longitude,202006,2020,6,held_out,125.799765,-0.06879807552948076,-0.027992736959347127,-0.04080533857013302
latitude_longitude,202007,2020,7,held_out,125.799765,-0.0037032018731419725,-0.018419589457287996,0.01471638758414636
latitude_longitude,202008,2020,8,held_out,125.799765,0.008704718079504648,-0.021587527766353455,0.03029224584585948
latitude_longitude,202106,2021,6,held_out,125.799765,-0.16809079252732936,-0.057954699509228574,-0.11013609301810061
latitude_longitude,202107,2021,7,held_out,125.799765,-0.026184619124471974,-0.000321687652762732,-0.025862931471710985
latitude_longitude,202108,2021,8,held_out,125.799765,-0.01622562470684199,-0.02535294011674779,0.009127315409906179
latitude_longitude,202206,2022,6,development,125.799765,-0.012631709547713433,-0.03545169685003614,0.022819987302322334
latitude_longitude,202207,2022,7,development,125.799765,0.20548952111671998,-0.01390593111735802,0.21939545223407567
latitude_longitude,202208,2022,8,development,125.799765,-0.09229524454685574,-0.05474846065204138,-0.037546783894815465
latitude_longitude,202306,2023,6,held_out,125.799765,-0.040498284842691,0.019841224728215548,-0.06033950957090704
latitude_longitude,202307,2023,7,held_out,125.799765,-0.10306495300832565,-0.05029413985434076,-0.05277081315398705
latitude_longitude,202308,2023,8,held_out,125.799765,-0.26495650319848385,-0.08152377201644498,-0.18343273118203804
latitude_longitude,202406,2024,6,held_out,125.799765,-0.0699915826766969,-0.03468829865123622,-0.03530328402545975
latitude_longitude,202407,2024,7,held_out,125.799765,0.13498511887182787,0.0010538788974122516,0.13393123997441514
latitude_longitude,202408,2024,8,held_out,125.799765,0.055687231277360714,0.0010013661079501667,0.054685865169410125
latitude_longitude,202506,2025,6,held_out,125.799765,-0.09514119861612344,-0.06501947744424068,-0.03012172117188465
latitude_longitude,202507,2025,7,held_out,125.799765,-0.14155943019958783,-0.02177969795287928,-0.11977973224670879
latitude_longitude,202508,2025,8,held_out,125.799765,-0.12294776445510146,-0.04448383904296797,-0.07846392541213412
latitude_longitude_elevation,199106,1991,6,held_out,125.799765,0.08371187655285596,0.031705148111094185,0.05200672844176195
latitude_longitude_elevation,199107,1991,7,held_out,125.799765,0.0963914539930687,0.05522087826499477,0.041170575728074976
latitude_longitude_elevation,199108,1991,8,held_out,125.799765,0.038327900457745985,0.02583394897720576,0.01249395148054118
latitude_longitude_elevation,199206,1992,6,held_out,125.799765,0.029506156464861596,0.009005228194039873,0.020500928270820687
latitude_longitude_elevation,199207,1992,7,held_out,125.799765,0.019222659607279088,0.005215545628114293,0.014007113979164508
latitude_longitude_elevation,199208,1992,8,held_out,125.799765,0.09215781473356643,0.005093489612404887,0.08706432512116113
latitude_longitude_elevation,199306,1993,6,held_out,125.799765,-0.0866718304789495,-0.10352266701975434,0.01685083654080496
latitude_longitude_elevation,199307,1993,7,held_out,125.799765,0.07912739888034184,0.09052257583589014,-0.011395176955547754
latitude_longitude_elevation,199308,1993,8,held_out,125.799765,-0.0430975471143597,0.026851599681951038,-0.06994914679631081
latitude_longitude_elevation,199406,1994,6,held_out,125.799765,0.09275410553264471,0.10757761819381967,-0.014823512661175138
latitude_longitude_elevation,199407,1994,7,held_out,125.799765,-0.03391208048639457,-0.06286254330983664,0.028950462823442193
latitude_longitude_elevation,199408,1994,8,held_out,125.799765,0.055975367616936667,-0.006734973233941592,0.06271034085087851
latitude_longitude_elevation,199506,1995,6,held_out,125.799765,0.09444151499206141,0.05978946986044514,0.03465204513161496
latitude_longitude_elevation,199507,1995,7,held_out,125.799765,0.019076192753893703,-0.008778692218455815,0.027854884972350263
latitude_longitude_elevation,199508,1995,8,held_out,125.799765,-0.09195303299457903,-0.06583110312348461,-0.026121929871094844
latitude_longitude_elevation,199606,1996,6,held_out,125.799765,-0.1298518964556923,-0.07115337180648476,-0.0586985246492068
latitude_longitude_elevation,199607,1996,7,held_out,125.799765,0.015719153438204448,0.00984353837983593,0.005875615058368562
latitude_longitude_elevation,199608,1996,8,held_out,125.799765,-0.09358665720976193,-0.0664373824723017,-0.027149274737461183
latitude_longitude_elevation,199706,1997,6,held_out,125.799765,-0.17250021685005543,-0.15836400692421898,-0.014136209925836946
latitude_longitude_elevation,199707,1997,7,held_out,125.799765,0.06981012056596178,0.052674743669256244,0.01713537689670559
latitude_longitude_elevation,199708,1997,8,held_out,125.799765,-0.12028757377972187,-0.06750577343748088,-0.052781800342241184
latitude_longitude_elevation,199806,1998,6,held_out,125.799765,-0.12989611040576526,-0.03718299549776432,-0.09271311490800062
latitude_longitude_elevation,199807,1998,7,held_out,125.799765,0.04426463796450573,-0.004140712497803584,0.0484053504623094
latitude_longitude_elevation,199808,1998,8,held_out,125.799765,0.0821730838122658,0.08298347480591052,-0.0008103909936443967
latitude_longitude_elevation,199906,1999,6,held_out,125.799765,-0.1697585136389411,-0.10832120332206939,-0.0614373103168724
latitude_longitude_elevation,199907,1999,7,held_out,125.799765,-0.000349965308419993,0.041194845960093714,-0.04154481126851415
latitude_longitude_elevation,199908,1999,8,held_out,125.799765,-0.1514386842623608,-0.0046600197315638985,-0.14677866453079869
latitude_longitude_elevation,200006,2000,6,held_out,125.799765,0.0028817902351598343,-0.0027976014106639645,0.00567939164582306
latitude_longitude_elevation,200007,2000,7,held_out,125.799765,-0.1535131147016426,-0.060819438906459286,-0.09269367579518344
latitude_longitude_elevation,200008,2000,8,held_out,125.799765,-0.18044906581750317,-0.14343152561035663,-0.03701754020714676
latitude_longitude_elevation,200106,2001,6,held_out,125.799765,-0.006244274209636319,0.03993618992643124,-0.046180464136067266
latitude_longitude_elevation,200107,2001,7,held_out,125.799765,-0.03313110604531836,0.0034996502951392186,-0.0366307563404568
latitude_longitude_elevation,200108,2001,8,held_out,125.799765,-0.16392685676041294,-0.03643985880312162,-0.12748699795729165
latitude_longitude_elevation,200206,2002,6,held_out,125.799765,0.014058693748048795,0.027656077403666934,-0.013597383655617723
latitude_longitude_elevation,200207,2002,7,held_out,125.799765,0.20269406816048147,0.12055967635642151,0.08213439180405831
latitude_longitude_elevation,200208,2002,8,held_out,125.799765,-0.14089307361015962,-0.08904074368090499,-0.05185232992925511
latitude_longitude_elevation,200306,2003,6,held_out,125.799765,-0.08881178499704992,-0.021556354777214785,-0.06725543021983525
latitude_longitude_elevation,200307,2003,7,held_out,125.799765,0.02821191038118029,0.03393408288660259,-0.005722172505421951
latitude_longitude_elevation,200308,2003,8,held_out,125.799765,0.08939397813210481,0.08590488922585077,0.003489088906255206
latitude_longitude_elevation,200406,2004,6,held_out,125.799765,0.056156429406920894,0.11722731945380355,-0.06107089004688324
latitude_longitude_elevation,200407,2004,7,held_out,125.799765,-0.031243811176637083,-0.009013510540949779,-0.02223030063568797
latitude_longitude_elevation,200408,2004,8,held_out,125.799765,-0.025177080867715477,-0.0004005607099427095,-0.02477652015777202
latitude_longitude_elevation,200506,2005,6,held_out,125.799765,-0.09700719569607875,-0.0794762675081711,-0.017530928187907645
latitude_longitude_elevation,200507,2005,7,held_out,125.799765,-0.053736344324005675,-0.011081111705887006,-0.042655232618118585
latitude_longitude_elevation,200508,2005,8,held_out,125.799765,-0.0007227591074150805,-0.0035625992944917674,0.0028398401870760506
latitude_longitude_elevation,200606,2006,6,held_out,125.799765,-0.06148056614259318,0.002054925188022102,-0.06353549133061574
latitude_longitude_elevation,200607,2006,7,held_out,125.799765,0.08118659297103166,0.002877913114302017,0.07830867985672792
latitude_longitude_elevation,200608,2006,8,held_out,125.799765,-0.13987016129788632,-0.12661888161607407,-0.013251279681812247
latitude_longitude_elevation,200706,2007,6,held_out,125.799765,0.14284801858310714,0.1540916034429188,-0.011243584859812982
latitude_longitude_elevation,200707,2007,7,held_out,125.799765,-0.0660815620500888,-0.03155352454804747,-0.03452803750204199
latitude_longitude_elevation,200708,2007,8,held_out,125.799765,0.0639183140276384,0.1062671372054421,-0.04234882317780407
