outer_fold,inner_fold,year,role
3,6,1992,train
3,6,1993,train
3,6,1994,train
3,6,1995,train
3,6,1996,train
3,6,1997,train
3,6,1998,train
3,6,1999,train
3,6,2007,train
3,6,2008,train
3,6,2009,train
3,6,2010,train
3,6,2011,train
3,6,2012,train
3,6,2013,train
3,6,2014,train
3,6,2016,validation
3,6,2017,validation
3,6,2018,validation
3,6,2019,validation
3,6,2020,validation
3,6,2021,buffer
3,6,2023,train
3,6,2024,train
3,6,2025,train
3,7,1991,train
3,7,1992,train
3,7,1993,train
3,7,1994,train
3,7,1995,train
3,7,1996,train
3,7,1997,train
3,7,1998,train
3,7,1999,train
3,7,2007,train
3,7,2008,train
3,7,2009,train
3,7,2010,train
3,7,2011,train
3,7,2012,train
3,7,2013,train
3,7,2014,train
3,7,2016,train
3,7,2017,train
3,7,2018,train
3,7,2019,train
3,7,2020,buffer
3,7,2021,validation
3,7,2023,validation
3,7,2024,validation
3,7,2025,validation
4,0,1991,train
4,0,1992,train
4,0,1993,train
4,0,1994,train
4,0,1995,train
4,0,1996,train
4,0,1997,train
4,0,1998,train
4,0,1999,train
4,0,2000,train
4,0,2001,train
4,0,2002,train
4,0,2003,train
4,0,2004,train
4,0,2005,buffer
4,0,2006,test
4,0,2007,test
4,0,2008,test
4,0,2009,test
4,0,2010,test
4,0,2011,buffer
4,0,2012,train
4,0,2013,train
4,0,2014,train
4,0,2015,development
4,0,2016,train
4,0,2017,train
4,0,2018,train
4,0,2019,train
4,0,2020,train
4,0,2021,train
4,0,2022,development
4,0,2023,train
4,0,2024,train
4,0,2025,train
4,1,1991,validation
4,1,1992,validation
4,1,1993,validation
4,1,1994,validation
4,1,1995,validation
4,1,1996,buffer
4,1,1997,train
4,1,1998,train
4,1,1999,train
4,1,2000,train
4,1,2001,train
4,1,2002,train
4,1,2003,train
4,1,2004,train
4,1,2012,train
4,1,2013,train
4,1,2014,train
4,1,2016,train
4,1,2017,train
4,1,2018,train
4,1,2019,train
4,1,2020,train
4,1,2021,train
4,1,2023,train
4,1,2024,train
4,1,2025,train
4,2,1991,train
4,2,1992,train
4,2,1993,train
4,2,1994,train
4,2,1995,buffer
4,2,1996,validation
4,2,1997,validation
4,2,1998,validation
4,2,1999,validation
4,2,2000,validation
4,2,2001,buffer
4,2,2002,train
4,2,2003,train
4,2,2004,train
4,2,2012,train
4,2,2013,train
4,2,2014,train
4,2,2016,train
4,2,2017,train
4,2,2018,train
4,2,2019,train
4,2,2020,train
4,2,2021,train
4,2,2023,train
4,2,2024,train
4,2,2025,train
4,3,1991,train
4,3,1992,train
4,3,1993,train
4,3,1994,train
4,3,1995,train
4,3,1996,train
4,3,1997,train
4,3,1998,train
4,3,1999,train
4,3,2000,buffer
4,3,2001,validation
4,3,2002,validation
4,3,2003,validation
4,3,2004,validation
4,3,2012,train
4,3,2013,train
4,3,2014,train
4,3,2016,train
4,3,2017,train
4,3,2018,train
4,3,2019,train
4,3,2020,train
4,3,2021,train
4,3,2023,train
4,3,2024,train
4,3,2025,train
4,5,1991,train
4,5,1992,train
4,5,1993,train
4,5,1994,train
4,5,1995,train
4,5,1996,train
4,5,1997,train
4,5,1998,train
4,5,1999,train
4,5,2000,train
4,5,2001,train
4,5,2002,train
4,5,2003,train
4,5,2004,train
4,5,2012,validation
4,5,2013,validation
4,5,2014,validation
4,5,2016,buffer
4,5,2017,train
4,5,2018,train
4,5,2019,train
4,5,2020,train
4,5,2021,train
4,5,2023,train
4,5,2024,train
4,5,2025,train
4,6,1991,train
4,6,1992,train
4,6,1993,train
4,6,1994,train
4,6,1995,train
4,6,1996,train
4,6,1997,train
4,6,1998,train
4,6,1999,train
4,6,2000,train
4,6,2001,train
4,6,2002,train
4,6,2003,train
4,6,2004,train
4,6,2012,train
4,6,2013,train
4,6,2014,train
4,6,2016,validation
4,6,2017,validation
4,6,2018,validation
4,6,2019,validation
4,6,2020,validation
4,6,2021,buffer
4,6,2023,train
4,6,2024,train
4,6,2025,train
4,7,1991,train
4,7,1992,train
4,7,1993,train
4,7,1994,train
4,7,1995,train
4,7,1996,train
4,7,1997,train
4,7,1998,train
4,7,1999,train
4,7,2000,train
4,7,2001,train
4,7,2002,train
4,7,2003,train
4,7,2004,train
4,7,2012,train
4,7,2013,train
4,7,2014,train
4,7,2016,train
4,7,2017,train
4,7,2018,train
4,7,2019,train
4,7,2020,buffer
4,7,2021,validation
4,7,2023,validation
4,7,2024,validation
4,7,2025,validation
5,0,1991,train
5,0,1992,train
5,0,1993,train
5,0,1994,train
5,0,1995,train
5,0,1996,train
5,0,1997,train
5,0,1998,train
5,0,1999,train
5,0,2000,train
5,0,2001,train
5,0,2002,train
5,0,2003,train
5,0,2004,train
5,0,2005,train
5,0,2006,train
5,0,2007,train
5,0,2008,train
5,0,2009,train
5,0,2010,buffer
5,0,2011,test
5,0,2012,test
5,0,2013,test
5,0,2014,test
5,0,2015,development
5,0,2016,buffer
5,0,2017,train
5,0,2018,train
5,0,2019,train
5,0,2020,train
5,0,2021,train
5,0,2022,development
5,0,2023,train
5,0,2024,train
5,0,2025,train
5,1,1991,validation
5,1,1992,validation
5,1,1993,validation
5,1,1994,validation
5,1,1995,validation
5,1,1996,buffer
5,1,1997,train
5,1,1998,train
5,1,1999,train
5,1,2000,train
5,1,2001,train
5,1,2002,train
5,1,2003,train
5,1,2004,train
5,1,2005,train
5,1,2006,train
5,1,2007,train
5,1,2008,train
5,1,2009,train
5,1,2017,train
5,1,2018,train
5,1,2019,train
5,1,2020,train
5,1,2021,train
5,1,2023,train
5,1,2024,train
5,1,2025,train
5,2,1991,train
5,2,1992,train
5,2,1993,train
5,2,1994,train
5,2,1995,buffer
5,2,1996,validation
5,2,1997,validation
5,2,1998,validation
5,2,1999,validation
5,2,2000,validation
5,2,2001,buffer
5,2,2002,train
5,2,2003,train
5,2,2004,train
5,2,2005,train
5,2,2006,train
5,2,2007,train
5,2,2008,train
5,2,2009,train
5,2,2017,train
5,2,2018,train
5,2,2019,train
5,2,2020,train
5,2,2021,train
5,2,2023,train
5,2,2024,train
5,2,2025,train
5,3,1991,train
5,3,1992,train
5,3,1993,train
5,3,1994,train
5,3,1995,train
5,3,1996,train
5,3,1997,train
5,3,1998,train
5,3,1999,train
5,3,2000,buffer
5,3,2001,validation
5,3,2002,validation
5,3,2003,validation
5,3,2004,validation
5,3,2005,validation
5,3,2006,buffer
5,3,2007,train
5,3,2008,train
5,3,2009,train
5,3,2017,train
5,3,2018,train
5,3,2019,train
5,3,2020,train
5,3,2021,train
5,3,2023,train
5,3,2024,train
5,3,2025,train
5,4,1991,train
5,4,1992,train
5,4,1993,train
5,4,1994,train
5,4,1995,train
5,4,1996,train
5,4,1997,train
5,4,1998,train
5,4,1999,train
5,4,2000,train
5,4,2001,train
5,4,2002,train
5,4,2003,train
5,4,2004,train
5,4,2005,buffer
5,4,2006,validation
5,4,2007,validation
5,4,2008,validation
5,4,2009,validation
5,4,2017,train
5,4,2018,train
5,4,2019,train
5,4,2020,train
5,4,2021,train
5,4,2023,train
5,4,2024,train
5,4,2025,train
5,6,1991,train
5,6,1992,train
5,6,1993,train
5,6,1994,train
5,6,1995,train
5,6,1996,train
5,6,1997,train
5,6,1998,train
5,6,1999,train
5,6,2000,train
5,6,2001,train
5,6,2002,train
5,6,2003,train
5,6,2004,train
5,6,2005,train
5,6,2006,train
5,6,2007,train
5,6,2008,train
5,6,2009,train
5,6,2017,validation
5,6,2018,validation
5,6,2019,validation
5,6,2020,validation
5,6,2021,buffer
5,6,2023,train
5,6,2024,train
5,6,2025,train
5,7,1991,train
5,7,1992,train
5,7,1993,train
5,7,1994,train
5,7,1995,train
5,7,1996,train
5,7,1997,train
5,7,1998,train
5,7,1999,train
5,7,2000,train
5,7,2001,train
5,7,2002,train
5,7,2003,train
5,7,2004,train
5,7,2005,train
5,7,2006,train
5,7,2007,train
5,7,2008,train
5,7,2009,train
5,7,2017,train
5,7,2018,train
5,7,2019,train
5,7,2020,buffer
5,7,2021,validation
5,7,2023,validation
5,7,2024,validation
5,7,2025,validation
6,0,1991,train
6,0,1992,train
6,0,1993,train
6,0,1994,train
6,0,1995,train
6,0,1996,train
6,0,1997,train
6,0,1998,train
6,0,1999,train
6,0,2000,train
6,0,2001,train
6,0,2002,train
6,0,2003,train
6,0,2004,train
6,0,2005,train
6,0,2006,train
6,0,2007,train
6,0,2008,train
6,0,2009,train
6,0,2010,train
6,0,2011,train
6,0,2012,train
6,0,2013,train
6,0,2014,train
6,0,2015,development
6,0,2016,test
6,0,2017,test
6,0,2018,test
6,0,2019,test
6,0,2020,test
6,0,2021,buffer
6,0,2022,development
6,0,2023,train
6,0,2024,train
6,0,2025,train
6,1,1991,validation
6,1,1992,validation
6,1,1993,validation
6,1,1994,validation
6,1,1995,validation
6,1,1996,buffer
6,1,1997,train
6,1,1998,train
6,1,1999,train
6,1,2000,train
6,1,2001,train
6,1,2002,train
6,1,2003,train
6,1,2004,train
6,1,2005,train
6,1,2006,train
6,1,2007,train
6,1,2008,train
6,1,2009,train
6,1,2010,train
6,1,2011,train
6,1,2012,train
6,1,2013,train
6,1,2014,train
6,1,2023,train
6,1,2024,train
6,1,2025,train
6,2,1991,train
6,2,1992,train
6,2,1993,train
6,2,1994,train
6,2,1995,buffer
6,2,1996,validation
6,2,1997,validation
6,2,1998,validation
6,2,1999,validation
6,2,2000,validation
6,2,2001,buffer
6,2,2002,train
6,2,2003,train
6,2,2004,train
6,2,2005,train
6,2,2006,train
6,2,2007,train
6,2,2008,train
6,2,2009,train
6,2,2010,train
6,2,2011,train
6,2,2012,train
6,2,2013,train
6,2,2014,train
6,2,2023,train
6,2,2024,train
6,2,2025,train
6,3,1991,train
6,3,1992,train
6,3,1993,train
6,3,1994,train
6,3,1995,train
6,3,1996,train
6,3,1997,train
6,3,1998,train
6,3,1999,train
6,3,2000,buffer
6,3,2001,validation
6,3,2002,validation
6,3,2003,validation
6,3,2004,validation
6,3,2005,validation
6,3,2006,buffer
6,3,2007,train
6,3,2008,train
6,3,2009,train
6,3,2010,train
6,3,2011,train
6,3,2012,train
6,3,2013,train
6,3,2014,train
6,3,2023,train
6,3,2024,train
6,3,2025,train
6,4,1991,train
6,4,1992,train
6,4,1993,train
6,4,1994,train
6,4,1995,train
6,4,1996,train
6,4,1997,train
6,4,1998,train
6,4,1999,train
6,4,2000,train
6,4,2001,train
6,4,2002,train
6,4,2003,train
6,4,2004,train
6,4,2005,buffer
6,4,2006,validation
6,4,2007,validation
6,4,2008,validation
6,4,2009,validation
6,4,2010,validation
6,4,2011,buffer
6,4,2012,train
6,4,2013,train
6,4,2014,train
6,4,2023,train
6,4,2024,train
6,4,2025,train
6,5,1991,train
6,5,1992,train
6,5,1993,train
6,5,1994,train
6,5,1995,train
6,5,1996,train
6,5,1997,train
6,5,1998,train
6,5,1999,train
6,5,2000,train
6,5,2001,train
6,5,2002,train
6,5,2003,train
6,5,2004,train
6,5,2005,train
6,5,2006,train
6,5,2007,train
6,5,2008,train
6,5,2009,train
6,5,2010,buffer
6,5,2011,validation
6,5,2012,validation
6,5,2013,validation
6,5,2014,validation
6,5,2023,train
6,5,2024,train
6,5,2025,train
6,7,1991,train
6,7,1992,train
6,7,1993,train
6,7,1994,train
6,7,1995,train
6,7,1996,train
6,7,1997,train
6,7,1998,train
6,7,1999,train
6,7,2000,train
6,7,2001,train
6,7,2002,train
6,7,2003,train
6,7,2004,train
6,7,2005,train
6,7,2006,train
6,7,2007,train
6,7,2008,train
6,7,2009,train
6,7,2010,train
6,7,2011,train
6,7,2012,train
6,7,2013,train
6,7,2014,train
6,7,2023,validation
6,7,2024,validation
6,7,2025,validation
7,0,1991,train
7,0,1992,train
7,0,1993,train
7,0,1994,train
7,0,1995,train
7,0,1996,train
7,0,1997,train
7,0,1998,train
7,0,1999,train
7,0,2000,train
7,0,2001,train
7,0,2002,train
7,0,2003,train
7,0,2004,train
7,0,2005,train
7,0,2006,train
7,0,2007,train
7,0,2008,train
7,0,2009,train
7,0,2010,train
7,0,2011,train
7,0,2012,train
7,0,2013,train
7,0,2014,train
7,0,2015,development
7,0,2016,train
7,0,2017,train
7,0,2018,train
7,0,2019,train
7,0,2020,buffer
7,0,2021,test
7,0,2022,development
7,0,2023,test
7,0,2024,test
7,0,2025,test
7,1,1991,validation
7,1,1992,validation
7,1,1993,validation
7,1,1994,validation
7,1,1995,validation
7,1,1996,buffer
7,1,1997,train
7,1,1998,train
7,1,1999,train
7,1,2000,train
7,1,2001,train
7,1,2002,train
7,1,2003,train
7,1,2004,train
7,1,2005,train
7,1,2006,train
7,1,2007,train
7,1,2008,train
7,1,2009,train
7,1,2010,train
7,1,2011,train
7,1,2012,train
7,1,2013,train
7,1,2014,train
7,1,2016,train
7,1,2017,train
7,1,2018,train
7,1,2019,train
7,2,1991,train
7,2,1992,train
7,2,1993,train
7,2,1994,train
7,2,1995,buffer
7,2,1996,validation
7,2,1997,validation
7,2,1998,validation
7,2,1999,validation
7,2,2000,validation
7,2,2001,buffer
7,2,2002,train
7,2,2003,train
7,2,2004,train
7,2,2005,train
7,2,2006,train
7,2,2007,train
7,2,2008,train
7,2,2009,train
7,2,2010,train
7,2,2011,train
7,2,2012,train
7,2,2013,train
7,2,2014,train
7,2,2016,train
7,2,2017,train
7,2,2018,train
7,2,2019,train
7,3,1991,train
7,3,1992,train
7,3,1993,train
7,3,1994,train
7,3,1995,train
7,3,1996,train
7,3,1997,train
7,3,1998,train
7,3,1999,train
7,3,2000,buffer
7,3,2001,validation
7,3,2002,validation
7,3,2003,validation
7,3,2004,validation
7,3,2005,validation
7,3,2006,buffer
7,3,2007,train
7,3,2008,train
7,3,2009,train
7,3,2010,train
7,3,2011,train
7,3,2012,train
7,3,2013,train
7,3,2014,train
7,3,2016,train
7,3,2017,train
7,3,2018,train
7,3,2019,train
7,4,1991,train
7,4,1992,train
7,4,1993,train
7,4,1994,train
7,4,1995,train
7,4,1996,train
7,4,1997,train
7,4,1998,train
7,4,1999,train
7,4,2000,train
7,4,2001,train
7,4,2002,train
7,4,2003,train
7,4,2004,train
7,4,2005,buffer
7,4,2006,validation
7,4,2007,validation
7,4,2008,validation
7,4,2009,validation
7,4,2010,validation
7,4,2011,buffer
7,4,2012,train
7,4,2013,train
7,4,2014,train
7,4,2016,train
7,4,2017,train
7,4,2018,train
7,4,2019,train
7,5,1991,train
7,5,1992,train
7,5,1993,train
7,5,1994,train
7,5,1995,train
7,5,1996,train
7,5,1997,train
7,5,1998,train
7,5,1999,train
7,5,2000,train
7,5,2001,train
7,5,2002,train
7,5,2003,train
7,5,2004,train
7,5,2005,train
7,5,2006,train
7,5,2007,train
7,5,2008,train
7,5,2009,train
7,5,2010,buffer
7,5,2011,validation
7,5,2012,validation
7,5,2013,validation
7,5,2014,validation
7,5,2016,buffer
7,5,2017,train
7,5,2018,train
7,5,2019,train
7,6,1991,train
7,6,1992,train
7,6,1993,train
7,6,1994,train
7,6,1995,train
7,6,1996,train
7,6,1997,train
7,6,1998,train
7,6,1999,train
7,6,2000,train
7,6,2001,train
7,6,2002,train
7,6,2003,train
7,6,2004,train
7,6,2005,train
7,6,2006,train
7,6,2007,train
7,6,2008,train
7,6,2009,train
7,6,2010,train
7,6,2011,train
7,6,2012,train
7,6,2013,train
7,6,2014,train
7,6,2016,validation
7,6,2017,validation
7,6,2018,validation
7,6,2019,validation
