year,analysis_role,yearly_slope,yearly_correlation,months,variable,day_definition
1996,confirmatory,-8.59592431380411,-0.175649058629133,3,swvl1,utc
1997,confirmatory,82.8132727299114,0.483971378035773,3,swvl1,utc
1998,confirmatory,27.4254037242848,0.120203360489521,3,swvl1,utc
1999,confirmatory,91.3033986176647,0.321957618502471,3,swvl1,utc
2000,confirmatory,7.81854073508776,0.0855441761448756,3,swvl1,utc
2001,confirmatory,30.2584999356921,0.186892465709181,3,swvl1,utc
2002,confirmatory,-31.2457519321009,-0.241705737517153,3,swvl1,utc
2003,confirmatory,13.9373208696544,0.142024083237962,3,swvl1,utc
2004,confirmatory,34.8794252532284,0.262370994635811,3,swvl1,utc
2005,confirmatory,35.248788597055,0.230034214101437,3,swvl1,utc
2006,confirmatory,-27.714321515224,-0.183737153342305,3,swvl1,utc
2007,confirmatory,20.9403682055771,0.205466952670896,3,swvl1,utc
2008,confirmatory,21.092283994739,0.153922575749157,3,swvl1,utc
2009,confirmatory,11.1546656479019,-0.00165489998245145,3,swvl1,utc
2010,confirmatory,-45.9009353374295,-0.255083452499711,3,swvl1,utc
2011,confirmatory,-1.22018672707192,-0.050476745594732,3,swvl1,utc
2012,confirmatory,6.64441940786791,0.0309523007084781,3,swvl1,utc
2013,confirmatory,28.745805369107,0.188701372369952,3,swvl1,utc
2014,confirmatory,30.0786719217889,0.174571819887115,3,swvl1,utc
2015,discovery,-4.81142338442555,-0.0550483831690434,3,swvl1,utc
2016,confirmatory,47.1891978357836,0.259672403116605,3,swvl1,utc
2017,confirmatory,64.4490657408028,0.357678600819232,3,swvl1,utc
2018,confirmatory,9.7061281079618,0.119660629638909,3,swvl1,utc
2019,confirmatory,-18.399370377591,-0.134794446727507,3,swvl1,utc
2020,confirmatory,-8.97593686753456,-0.0173840728403788,3,swvl1,utc
2021,confirmatory,5.91124461929462,0.0147828887349544,3,swvl1,utc
2022,discovery,27.8448663243711,0.124517143814355,3,swvl1,utc
2023,confirmatory,-16.2301421623642,-0.136944550818366,3,swvl1,utc
2024,confirmatory,23.0372763483448,0.209320885576804,3,swvl1,utc
2025,confirmatory,22.9042501244272,0.0380425643031807,3,swvl1,utc
1991,confirmatory,6.48823119583087e-07,0.0792792803268456,3,ssrd,utc
1992,confirmatory,3.84670349387764e-07,0.0645901127538247,3,ssrd,utc
1993,confirmatory,3.19396905896166e-07,0.0549687732918782,3,ssrd,utc
1994,confirmatory,-5.15666034430466e-07,-0.142212698189339,3,ssrd,utc
1995,confirmatory,4.62144756293624e-07,0.103894462256259,3,ssrd,utc
1996,confirmatory,1.16525888847549e-06,0.189824368432245,3,ssrd,utc
1997,confirmatory,-1.60955079726411e-06,-0.257105219463348,3,ssrd,utc
1998,confirmatory,-1.01163797208699e-06,-0.164847067005897,3,ssrd,utc
1999,confirmatory,1.1428792959733e-06,-0.0099243859206446,3,ssrd,utc
2000,confirmatory,-2.39877425396735e-07,-0.0376478257742376,3,ssrd,utc
2001,confirmatory,-3.46154735954829e-07,-0.0943305244646477,3,ssrd,utc
2002,confirmatory,-1.6709781682167e-07,-0.087142231472142,3,ssrd,utc
2003,confirmatory,5.94306980765357e-07,0.0601834690791638,3,ssrd,utc
2004,confirmatory,-6.55173087425708e-07,-0.100538250197258,3,ssrd,utc
2005,confirmatory,-3.4221197771217e-07,-0.102911330987214,3,ssrd,utc
2006,confirmatory,1.72024719985887e-06,0.191981202081857,3,ssrd,utc
2007,confirmatory,-1.07044746356224e-06,-0.298193069543134,3,ssrd,utc
2008,confirmatory,1.05963559359604e-06,0.0843418010480015,3,ssrd,utc
2009,confirmatory,-1.70896474559417e-07,-0.0314540818335414,3,ssrd,utc
2010,confirmatory,1.06237002211329e-07,-0.0184316620642914,3,ssrd,utc
2011,confirmatory,-6.25842216563204e-07,-0.134214457685691,3,ssrd,utc
2012,confirmatory,4.96843356286592e-07,0.0902554059754139,3,ssrd,utc
2013,confirmatory,2.13335782112819e-07,0.0124003279328877,3,ssrd,utc
2014,confirmatory,-4.11376109494132e-07,0.0671409359401808,3,ssrd,utc
2015,discovery,-2.32894024566842e-07,-0.123134829074222,3,ssrd,utc
2016,confirmatory,1.9078872156984e-07,-0.0133547624878464,3,ssrd,utc
2017,confirmatory,-7.80785397285969e-08,-0.0495690058566808,3,ssrd,utc
2018,confirmatory,-6.79630930619077e-07,-0.141241728537385,3,ssrd,utc
2019,confirmatory,7.96789085346272e-08,0.0122124579885997,3,ssrd,utc
2020,confirmatory,7.79038894094908e-07,0.0619378533102004,3,ssrd,utc
2021,confirmatory,9.57259717870039e-07,0.120794556244344,3,ssrd,utc
2022,discovery,-2.23050510585577e-06,-0.246197420974086,3,ssrd,utc
2023,confirmatory,-1.49199135298744e-07,-0.0438692127240984,3,ssrd,utc
2024,confirmatory,8.14910083450259e-07,0.00363555220491636,3,ssrd,utc
2025,confirmatory,-1.03232463712853e-06,-0.26831865864127,3,ssrd,utc
1991,confirmatory,0.947687601319461,0.219218086618248,3,wind_speed_mean,utc_plus_8
1992,confirmatory,0.0131907233380874,-0.0658049320188822,3,wind_speed_mean,utc_plus_8
1993,confirmatory,0.401124939323944,0.139413891271941,3,wind_speed_mean,utc_plus_8
1994,confirmatory,-1.0858459433222,-0.207386660688008,3,wind_speed_mean,utc_plus_8
1995,confirmatory,-0.335868399038372,-0.100657399966013,3,wind_speed_mean,utc_plus_8
1996,confirmatory,0.0987182244823016,0.0295660816318341,3,wind_speed_mean,utc_plus_8
1997,confirmatory,0.153507242553157,-0.00635339907461755,3,wind_speed_mean,utc_plus_8
1998,confirmatory,0.0619580428723801,-0.028303459744739,3,wind_speed_mean,utc_plus_8
1999,confirmatory,-1.32124058484819,-0.155454591911137,3,wind_speed_mean,utc_plus_8
2000,confirmatory,0.079165684556901,0.0279766563897258,3,wind_speed_mean,utc_plus_8
2001,confirmatory,-0.736690179630732,-0.0768295752804058,3,wind_speed_mean,utc_plus_8
2002,confirmatory,0.398827878509205,0.102988416492839,3,wind_speed_mean,utc_plus_8
2003,confirmatory,0.0386677629079045,-0.0230321423621374,3,wind_speed_mean,utc_plus_8
2004,confirmatory,-0.359273219254534,-0.109252793085889,3,wind_speed_mean,utc_plus_8
2005,confirmatory,-0.168025979805502,-0.0367257655896479,3,wind_speed_mean,utc_plus_8
2006,confirmatory,-1.32267275790051,-0.295628767978536,3,wind_speed_mean,utc_plus_8
2007,confirmatory,-1.28735259197563,-0.256228989763079,3,wind_speed_mean,utc_plus_8
2008,confirmatory,-0.174154190449864,-0.0748053859577017,3,wind_speed_mean,utc_plus_8
2009,confirmatory,-0.372314354798592,-0.0718377011503661,3,wind_speed_mean,utc_plus_8
2010,confirmatory,-0.295595598383747,-0.0430974526201153,3,wind_speed_mean,utc_plus_8
2011,confirmatory,-0.272726294727412,-0.0436475066585948,3,wind_speed_mean,utc_plus_8
2012,confirmatory,-0.186659146326504,-0.00242855839545251,3,wind_speed_mean,utc_plus_8
2013,confirmatory,-1.20593936475292,-0.28034759998366,3,wind_speed_mean,utc_plus_8
2014,confirmatory,-0.243133334873963,-0.0350664691768916,3,wind_speed_mean,utc_plus_8
2015,discovery,-0.0556924530012748,-0.0160263259192828,3,wind_speed_mean,utc_plus_8
2016,confirmatory,0.107833336008896,-0.00498037211630389,3,wind_speed_mean,utc_plus_8
2017,confirmatory,2.40295252052009,0.321767212288062,3,wind_speed_mean,utc_plus_8
2018,confirmatory,-0.0365257844794783,-0.00118314144489935,3,wind_speed_mean,utc_plus_8
2019,confirmatory,0.696051932969103,0.145521262178438,3,wind_speed_mean,utc_plus_8
2020,confirmatory,-0.200864609876632,-0.0896602283457104,3,wind_speed_mean,utc_plus_8
2021,confirmatory,0.604603258795064,0.0418627055535542,3,wind_speed_mean,utc_plus_8
2022,discovery,0.110760654266964,-0.0544440720162814,3,wind_speed_mean,utc_plus_8
2023,confirmatory,-1.02394702680962,-0.0770224627695357,3,wind_speed_mean,utc_plus_8
2024,confirmatory,0.396565445895611,0.0891224436024457,3,wind_speed_mean,utc_plus_8
2025,confirmatory,-0.646549741779135,-0.129136716753476,3,wind_speed_mean,utc_plus_8
1991,confirmatory,11.4444635988064,0.0518497516796031,3,swvl1,utc_plus_8
1992,confirmatory,18.5900958620876,0.208811630796868,3,swvl1,utc_plus_8
1993,confirmatory,-2.19054907243285,-0.113162872493582,3,swvl1,utc_plus_8
1994,confirmatory,-11.9295278957048,-0.0725112655888994,3,swvl1,utc_plus_8
1995,confirmatory,21.9360847265554,0.109208348554948,3,swvl1,utc_plus_8
1996,confirmatory,-8.59592431380411,-0.175649058629133,3,swvl1,utc_plus_8
1997,confirmatory,82.8132727299114,0.483971378035773,3,swvl1,utc_plus_8
1998,confirmatory,27.4254037242848,0.120203360489521,3,swvl1,utc_plus_8
1999,confirmatory,91.3033986176647,0.321957618502471,3,swvl1,utc_plus_8
2000,confirmatory,6.95834846045097,0.0813029258208981,3,swvl1,utc_plus_8
2001,confirmatory,30.2584999356921,0.186892465709181,3,swvl1,utc_plus_8
2002,confirmatory,-31.2457519321009,-0.241705737517153,3,swvl1,utc_plus_8
2003,confirmatory,13.9373208696544,0.142024083237962,3,swvl1,utc_plus_8
2004,confirmatory,34.8794252532284,0.262370994635811,3,swvl1,utc_plus_8
2005,confirmatory,35.248788597055,0.230034214101437,3,swvl1,utc_plus_8
2006,confirmatory,-27.714321515224,-0.183737153342305,3,swvl1,utc_plus_8
2007,confirmatory,20.9403682055771,0.205466952670896,3,swvl1,utc_plus_8
2008,confirmatory,21.092283994739,0.153922575749157,3,swvl1,utc_plus_8
2009,confirmatory,-4.83560163635861,-0.0615420548586536,3,swvl1,utc_plus_8
2010,confirmatory,-45.9009353374295,-0.255083452499711,3,swvl1,utc_plus_8
2011,confirmatory,2.47713987409123,-0.0372294619466078,3,swvl1,utc_plus_8
2012,confirmatory,6.64441940786791,0.0309523007084781,3,swvl1,utc_plus_8
2013,confirmatory,24.5510722158049,0.164677007012027,3,swvl1,utc_plus_8
2014,confirmatory,30.0786719217889,0.174571819887115,3,swvl1,utc_plus_8
2015,discovery,-4.81142338442555,-0.0550483831690434,3,swvl1,utc_plus_8
2016,confirmatory,43.0157556078211,0.243976177458352,3,swvl1,utc_plus_8
2017,confirmatory,64.4490657408028,0.357678600819232,3,swvl1,utc_plus_8
2018,confirmatory,9.7061281079618,0.119660629638909,3,swvl1,utc_plus_8
2019,confirmatory,-18.399370377591,-0.134794446727507,3,swvl1,utc_plus_8
2020,confirmatory,-8.97593686753456,-0.0173840728403788,3,swvl1,utc_plus_8
2021,confirmatory,3.32960655354251,-0.00704737084652099,3,swvl1,utc_plus_8
2022,discovery,27.8448663243711,0.124517143814355,3,swvl1,utc_plus_8
2023,confirmatory,-16.2301421623642,-0.136944550818366,3,swvl1,utc_plus_8
2024,confirmatory,23.0372763483448,0.209320885576804,3,swvl1,utc_plus_8
2025,confirmatory,22.9042501244272,0.0380425643031807,3,swvl1,utc_plus_8
1991,confirmatory,6.48823119583087e-07,0.0792792803268456,3,ssrd,utc_plus_8
1992,confirmatory,3.84670349387764e-07,0.0645901127538247,3,ssrd,utc_plus_8
1993,confirmatory,3.19396905896166e-07,0.0549687732918782,3,ssrd,utc_plus_8
1994,confirmatory,-5.15666034430466e-07,-0.142212698189339,3,ssrd,utc_plus_8
1995,confirmatory,4.62144756293624e-07,0.103894462256259,3,ssrd,utc_plus_8
1996,confirmatory,1.16525888847549e-06,0.189824368432245,3,ssrd,utc_plus_8
1997,confirmatory,-1.60955079726411e-06,-0.257105219463348,3,ssrd,utc_plus_8
1998,confirmatory,-1.01163797208699e-06,-0.164847067005897,3,ssrd,utc_plus_8
1999,confirmatory,1.1428792959733e-06,-0.0099243859206446,3,ssrd,utc_plus_8
2000,confirmatory,-4.9924427307632e-07,-0.114042216529247,3,ssrd,utc_plus_8
2001,confirmatory,-3.46154735954829e-07,-0.0943305244646477,3,ssrd,utc_plus_8
2002,confirmatory,-1.6709781682167e-07,-0.087142231472142,3,ssrd,utc_plus_8
2003,confirmatory,5.94306980765357e-07,0.0601834690791638,3,ssrd,utc_plus_8
2004,confirmatory,-6.55173087425708e-07,-0.100538250197258,3,ssrd,utc_plus_8
2005,confirmatory,-3.4221197771217e-07,-0.102911330987214,3,ssrd,utc_plus_8
2006,confirmatory,1.72024719985887e-06,0.191981202081857,3,ssrd,utc_plus_8
2007,confirmatory,-1.07044746356224e-06,-0.298193069543134,3,ssrd,utc_plus_8
2008,confirmatory,1.05963559359604e-06,0.0843418010480015,3,ssrd,utc_plus_8
2009,confirmatory,-1.5432445929035e-07,-0.0283471345468652,3,ssrd,utc_plus_8
2010,confirmatory,1.06237002211329e-07,-0.0184316620642914,3,ssrd,utc_plus_8
2011,confirmatory,-7.40090196761724e-07,-0.158194054649291,3,ssrd,utc_plus_8
2012,confirmatory,4.96843356286592e-07,0.0902554059754139,3,ssrd,utc_plus_8
2013,confirmatory,7.5716579386065e-08,-0.00985099253363079,3,ssrd,utc_plus_8
2014,confirmatory,-4.11376109494132e-07,0.0671409359401808,3,ssrd,utc_plus_8
2015,discovery,-2.32894024566842e-07,-0.123134829074222,3,ssrd,utc_plus_8
2016,confirmatory,-5.56400958888831e-08,-0.0711321722118558,3,ssrd,utc_plus_8
2017,confirmatory,-7.80785397285969e-08,-0.0495690058566808,3,ssrd,utc_plus_8
2018,confirmatory,-6.79630930619077e-07,-0.141241728537385,3,ssrd,utc_plus_8
2019,confirmatory,7.96789085346272e-08,0.0122124579885997,3,ssrd,utc_plus_8
2020,confirmatory,7.79038894094908e-07,0.0619378533102004,3,ssrd,utc_plus_8
2021,confirmatory,1.40047014383219e-07,-0.00419843954656546,3,ssrd,utc_plus_8
2022,discovery,-2.23050510585577e-06,-0.246197420974086,3,ssrd,utc_plus_8
2023,confirmatory,-1.49199135298744e-07,-0.0438692127240984,3,ssrd,utc_plus_8
2024,confirmatory,8.14910083450259e-07,0.00363555220491636,3,ssrd,utc_plus_8
2025,confirmatory,-1.03232463712853e-06,-0.26831865864127,3,ssrd,utc_plus_8
